"","sample_id","sample.type","sample.day","genotype","fertilization","ecostyle","replicates","soil_moisture","wet","pH_water","pH_kcl","Ecp","Eb","Ecb","nitraat","ammonia","shoot_length","root_length","shoot_dry_weight","root_dry_weight","tuber_dry_weight","root_shoot_ratio","tuber_fresh_weight"
"87","TP8_16S","Rhizosphere","5 weeks","Desiree","high","no","A",9.9621296502562,0.083,5.575,5.335,"too dry",4.4,3,NA,NA,27,15,0.6021,0.0648,5.78,10.762331838565,19
"88","TP80_16S","Rhizosphere","5 weeks","Desiree","high","no","D",9.21653034868707,0.022,5.71,5.275,"too dry",2.5,-1,2.97401464939377,1.56455907608592,21,44,1.9615,0.1963,10.81,10.0076472087688,43.2
"89","TP81_16S","Rhizosphere","8 weeks","Control","high","no","D",17.1436748712078,0.379,5.395,5.26,"367",21,78,74.0228421652144,1.34929705239691,NA,NA,NA,NA,NA,NA,NA
"90","TP83_16S","Rhizosphere","5 weeks","Desiree","high","yes","D",10.6965750567734,0.103,5.42,5.215,"too dry",5.1,6,49.8546861452159,1.42067159546403,39,34.5,1.3175,0.1138,5.11,8.63757115749526,16.7
"91","TP85_16S","Rhizosphere","8 weeks","Danuta","low","no","D",8.9311859443631,0.09,5.78,5.31,"too dry",4.6,1,1.85094287165939,1.18818430565689,24,12,1.328,0.1442,10.52,10.8584337349398,32
"92","TP86_16S","Rhizosphere","8 weeks","Control","low","yes","D",17.4457684081882,0.329,6.1,5.7,"172",17.3,29,26.7798734607411,1.71889097299927,NA,NA,NA,NA,NA,NA,NA
"93","TP87_16S","Rhizosphere","8 weeks","Jelly","high","no","D",8.06142034548946,0.042,5.51,5.215,"too dry",3.1,1,11.3619030815071,1.21754779803425,23,84,1.934,0.2138,17.62,11.0548086866598,68
"94","TP88_16S","Rhizosphere","8 weeks","Jelly","low","yes","D",9.11330049261084,0.063,5.895,5.335,"too dry",3.7,0,5.15853831281145,1.40466856455778,24,26,1.15,0.2255,16.27,19.6086956521739,46
"95","TP89_16S","Rhizosphere","8 weeks","Desiree","high","yes","D",7.1212121212121,0.113,5.335,5.145,"too dry",5.5,6,37.1570331539907,1.56113096088561,24,27,1.401,0.1594,11.35,11.3775874375446,44
"96","TP90_16S","Rhizosphere","8 weeks","Danuta","high","no","D",20.252484555466,0.43,5.525,5.385,"323",25.1,86,90.3842172165684,1.77727871149825,20,15,0.618,0.1337,6.41,21.6343042071197,18
"97","TP91_16S","Rhizosphere","8 weeks","Desiree","low","no","D",14.7293700088731,0.168,6.065,5.495,"77",7.9,4,3.88400361078291,1.42843297571701,26.5,12,0.994,0.146,11.25,14.6881287726358,43
"98","TP92_16S","Rhizosphere","8 weeks","Danuta","high","yes","D",9.58313368471492,0.151,5.46,5.315,"297",7.1,11,32.7904603897296,1.52870028898722,18,19,1.24,0.1513,12.99,12.2016129032258,37
"99","TP93_16S","Rhizosphere","5 weeks","Desiree","low","no","D",10.3995755275295,0.07,6.055,5.41,"11",4,0,0.549840663426664,1.33013427958174,35.5,33,1.1852,0.2458,9.36,20.739115761053,37.1
"100","TP94_16S","Rhizosphere","8 weeks","Danuta","low","yes","D",9.138505473584,0.109,6.015,5.49,"too dry",5.4,2,1.13378771531615,1.66906734044194,32,42,1.409,0.2097,7.46,14.8828956706884,25
"101","TP95_16S","Rhizosphere","8 weeks","Desiree","low","yes","D",3.62493958434028,0.092,5.88,5.38,"too dry",4.7,1,2.40333613398278,1.35336757462193,32.5,13,0.992,0.0927,11.03,9.34475806451613,49
"102","TP96_16S","Rhizosphere","8 weeks","Control","high","yes","D",14.8365773044436,0.298,5.24,5.19,"543",15.2,76,117.541466860068,1.4621924918559,NA,NA,NA,NA,NA,NA,NA
"103","TP97_16S","Rhizosphere","5 weeks","Desiree","high","yes","E",6.23079918653457,0.045,5.405,5.215,"too dry",3.2,0,NA,NA,32.5,44.5,1.8501,0.2833,8.08,15.3126858007675,33
"104","TP98_16S","Rhizosphere","8 weeks","Danuta","low","yes","E",8.67625185919683,0.078,5.9,5.335,"too dry",4.2,1,NA,NA,28,38,1.123,0.2656,7.17,23.6509349955476,21
